regex,origin,company_key,company_name,confidence,note
^LG-?\d,non_cn,lgchem,LG Chem (KR),medium,
^E7\d{3}$,non_cn,eisai,Eisai (JP),high,
^E-?\d{4}$,non_cn,eisai,Eisai (JP),medium,
^S-?\d{6}$,non_cn,shionogi,Shionogi (JP),high,
^MT-?\d{4}$,non_cn,mitsubishi,Mitsubishi Tanabe (JP),high,
^DSP-?\d,non_cn,sumitomo,Sumitomo Pharma (JP),high,
^KW-?\d,non_cn,kyowa,Kyowa Kirin (JP),high,
^OPC-?\d,non_cn,otsuka,Otsuka (JP),high,
^TS-?\d{3}$,non_cn,taisho,Taisho (JP),medium,
^JTE-?\d,non_cn,jt,Japan Tobacco (JP),high,
^K-?\d{3}$,non_cn,kowa,Kowa (JP),low,
^OBI-?\d,non_cn,obi,OBI Pharma (TW),high,
^TLC-?\d,non_cn,tlc,Taiwan Liposome (TW),high,
^GRC-?\d,non_cn,glenmark,Glenmark (IN),high,
"^ZY[A-Z]{1,3}\d",non_cn,zydus,Zydus (IN),medium,
^MEDI-?\d,non_cn,astrazeneca,AstraZeneca/MedImmune,high,
^JZP-?\d,non_cn,jazz,Jazz,high,
^ACP-?\d,non_cn,acadia,Acadia,high,
^ALKS-?\d,non_cn,alkermes,Alkermes,high,
^ARV-?\d,non_cn,arvinas,Arvinas,high,
^BLU-?\d,non_cn,blueprint,Blueprint,high,
^DCC-?\d,non_cn,deciphera,Deciphera,high,
^DNL-?\d,non_cn,denali,Denali,high,
^FT-?\d{3}$,non_cn,fate,Fate Therapeutics,medium,
^GLPG-?\d,non_cn,galapagos,Galapagos,high,
^IMGN-?\d,non_cn,immunogen,ImmunoGen,high,
^IPI-?\d,non_cn,infinity,Infinity,high,
^KPT-?\d,non_cn,karyopharm,Karyopharm,high,
^LOXO-?\d,non_cn,loxo,Loxo/Lilly,high,
^MGD-?\d,non_cn,macrogenics,MacroGenics,high,
^MRTX-?\d,non_cn,mirati,Mirati,high,
^NKTR-?\d,non_cn,nektar,Nektar,high,
^ORIC-?\d,non_cn,oric,ORIC,high,
^PRT-?\d,non_cn,prelude,Prelude,high,
^PTC-?\d,non_cn,ptc,PTC,high,
^RP-?\d{4}$,non_cn,repare,Repare/Rapt (verify),low,
^SGN-?,non_cn,seagen,Seagen,high,
^SNDX-?\d,non_cn,syndax,Syndax,high,
^SRP-?\d,non_cn,sarepta,Sarepta,high,
^TNG-?\d,non_cn,tango,Tango,high,
^VIR-?\d,non_cn,vir,Vir,high,
^XL-?\d{3}$,non_cn,exelixis,Exelixis,high,
^ZN-?[CDE]\d,non_cn,zentalis,Zentalis,high,
^BAX-?\d,non_cn,baxter,Baxter,high,
^CUDC-?\d,non_cn,curis,Curis,high,
^HTL-?\d,non_cn,heptares,Heptares/Sosei,high,
^INO-?\d,non_cn,inovio,Inovio,high,
^MEN-?\d,non_cn,menarini,Menarini,high,
^MOR-?\d,non_cn,morphosys,MorphoSys,high,
^NBI-?\d,non_cn,neurocrine,Neurocrine,high,
^RVT-?\d,non_cn,roivant,Roivant,high,
^SAGE-?\d,non_cn,sage,Sage,high,
^SLN-?\d,non_cn,silence,Silence Therapeutics,high,
^STRO-?\d,non_cn,sutro,Sutro,high,
^TEV-?\d,non_cn,teva,Teva,high,
^UCB-?\d,non_cn,ucb,UCB,high,
^VBI-?\d,non_cn,vbi,VBI Vaccines,high,
^WVE-?\d,non_cn,wave,Wave,high,
^XEN-?\d,non_cn,xenon,Xenon,high,
^ZW-?\d,non_cn,zymeworks,Zymeworks,high,
^ALN-?,non_cn,alnylam,Alnylam,high,
^ARO-?,non_cn,arrowhead,Arrowhead,high,
^DCR-?,non_cn,dicerna,Dicerna,high,
^PM0\d{4}$,non_cn,pharmamar,PharmaMar (ES),high,PM01183
^PM14$,non_cn,pharmamar,PharmaMar (ES),high,
^AG-?\d{3}$,non_cn,agios,Agios (verify),low,
"^AB-?\d{3,4}$",non_cn,ab,AbbVie/Arcus (verify),low,
^CPI-?\d,non_cn,corvus,Corvus/Constellation,medium,
^IMC-?\d,non_cn,immunocore,Immunocore,high,
^INS-?\d{3}$,non_cn,insmed,Insmed (verify),low,
^LNP-?\d,non_cn,lnp,unknown non-CN (verify),low,
^NVP-?,non_cn,novartis,Novartis,high,
^RXC-?\d,non_cn,redx,Redx,high,
^TRC-?\d,non_cn,tracon,TRACON,high,
^VRT-?\d,non_cn,vertex,Vertex,high,
^AVB-?\d,non_cn,avb,unknown non-CN (verify),low,
^CFT-?\d,non_cn,c4,C4 Therapeutics,high,
^KO-?\d,non_cn,kura,Kura,high,
^PRN-?\d,non_cn,principia,Principia,high,
^SNS-?\d,non_cn,sunesis,Sunesis,high,
^TPX-?\d,non_cn,turning,Turning Point,high,
^ARQ-?\d,non_cn,arqule,ArQule,high,
^BXCL-?\d,non_cn,bioxcel,BioXcel,high,
^FHD-?\d,non_cn,foghorn,Foghorn,high,
^IDE-?\d,non_cn,ideaya,IDEAYA,high,
^PBI-?\d,non_cn,pbi,unknown non-CN (verify),low,
^PRAX-?\d,non_cn,praxis,Praxis,high,
^OSE-?\d,non_cn,ose,OSE Immunotherapeutics,high,
^VTP-?\d,non_cn,vtp,Vaccitech,high,
^ASLAN-?\d,non_cn,aslan,ASLAN (SG),high,
^AVI-?\d,non_cn,avi,AVI BioPharma,high,
^JNJ,non_cn,jnj,Johnson & Johnson,high,
^GBR-?\d,non_cn,glenmark,Glenmark,high,
^ISIS-?\d,non_cn,ionis,Ionis,high,
^UMG-?\d,non_cn,umg,unknown non-CN (verify),low,
^VAY-?\d,non_cn,vay,unknown non-CN (verify),low,
^SEL-?\d,non_cn,selecta,Selecta (verify),low,
^EQ-?\d,non_cn,eq,unknown non-CN (verify),low,
^DEB-?\d,non_cn,debio,Debiopharm (verify),low,
^CLN-?\d,non_cn,cln,unknown non-CN (verify),low,
^CNTB-?\d,non_cn,cntb,unknown non-CN (verify),low,
^GRN-?\d,non_cn,geron,Geron (verify),low,
^LJPC-?\d,non_cn,ljpc,La Jolla Pharma,high,
^QBS-?\d,non_cn,qbs,unknown non-CN (verify),low,
^SPR-?\d,non_cn,spr,unknown non-CN (verify),low,
^TC-?\d,non_cn,tc,unknown non-CN (verify),low,
^TBIO-?\d,non_cn,tbio,unknown non-CN (verify),low,
^NBI,non_cn,neurocrine,Neurocrine,high,
^MRK-?\d,non_cn,merck,Merck,high,
^ABT-?\d,non_cn,abbott,Abbott/AbbVie,high,
^AVE-?\d,non_cn,sanofi,Sanofi-Aventis,high,
^SCH-?\d,non_cn,schering,Schering-Plough/Merck,high,
^CP-?\d{6}$,non_cn,pfizer,Pfizer,high,
^AG-?\d{5}$,non_cn,pfizer,Pfizer/Agouron,high,
^PD-?\d{6}$,non_cn,pfizer,Pfizer,high,
^WAY-?\d,non_cn,wyeth,Wyeth/Pfizer,high,
^MDX-?\d,non_cn,medarex,Medarex/BMS,high,
^SB-?\d{6}$,non_cn,gsk,GSK,high,
^GW-?\d{6}$,non_cn,gsk,GSK,high,
^NVS-?\d,non_cn,novartis,Novartis,high,
^SDZ-?\d,non_cn,sandoz,Sandoz/Novartis,high,
^LEO-?\d,non_cn,leo,LEO Pharma,high,
^ACT-?\d,non_cn,actelion,Actelion,high,
^MLN-?\d,non_cn,millennium,Millennium/Takeda,high,
^IPH-?\d,non_cn,innate,Innate Pharma,high,
^BGB-?324$,non_cn,bergenbio,BerGenBio,high,BGB324 bemcentinib is BerGenBio not BeiGene
^AGEN-?\d,non_cn,agenus,Agenus,high,
^CDX-?\d,non_cn,celldex,Celldex,high,
^ADCT-?\d,non_cn,adc,ADC Therapeutics,high,
^SGN-?,non_cn,seagen,Seagen,high,
^ZYN-?\d,non_cn,zynerba,Zynerba,high,
^AZ-?\d,non_cn,astrazeneca,AstraZeneca,medium,
^MEDI,non_cn,astrazeneca,AstraZeneca,high,
