asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
RZL-012,,,UTENPANIUM CHLORIDE,Small molecule,PHASE_2,RZL-012 | rzl-012,submental fat | dercum's disease | obesity | lipedema | lipoma | submental fat accumulation,"{""PHASE2"": 7, ""PHASE1/PHASE2"": 2}","{""COMPLETED"": 9}",9,NCT03171415,NCT05763160,"A Double Blind, Randomized, Placebo Controlled, Dose Escalation Phase 2a Clinical Trial for the Evaluation of Safety, Efficacy and Thermogenesis-induction of RZL-012 in Overweight and Obese Volunteers || An Open Label, Phase 2a Clinical Trial for the Evaluation of Safety and Efficacy of RZL-012 for the Treatment of Women With Lipedema Involving Sub",NCT03171415|NCT03492840|NCT04086823|NCT04229030|NCT04867434|NCT05445557,1
SKLB1028,,,RUSERONTINIB,Small molecule,PHASE_3,SKLB1028 | sklb1028,acute myeloid leukemia | solid tumor,"{""PHASE1"": 6, ""PHASE2"": 1, ""PHASE3"": 1, ""PHASE1/PHASE2"": 1}","{""UNKNOWN"": 5, ""COMPLETED"": 3, ""RECRUITING"": 1}",9,NCT02859948,NCT05445154,"Phase I Open-Label, Sequential Dose Escalation Study Investigating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SKLB1028 When Administered Daily to Patients With Relapsed or Refractory Acute Myeloid Leukemia || Phase IIa Clinical Study of SKLB1028 Capsule in the Treatment of FLT3 Mutation Recurrence / Refractory AML Patients ",NCT02859948|NCT04015024|NCT04716114|NCT05069870|NCT05070195|NCT05072522,1
CARBON-13,,,,,,carbon 13 pyruvate | hyperpolarized carbon 13 pyruvate | carbon-13 pyruvate,prostate cancer | cardiotoxicity | glioma | lower grade glioma | pancreatic ductal adenocarcinoma | head and neck malignancies,"{""PHASE2"": 2, ""EARLY_PHASE1"": 1, ""PHASE1"": 5, ""NA"": 1}","{""WITHDRAWN"": 1, ""COMPLETED"": 1, ""RECRUITING"": 5, ""TERMINATED"": 1, ""UNKNOWN"": 1}",9,NCT03581500,NCT06600906,Hyperpolarized 13-C-Pyruvate Magnetic Resonance Spectroscopic Imaging Reproducibilty Pilot in Patients With Prostate Cancer || Effect of Cardiotoxic Anticancer Therapy on the Metabolism of [1-13C]Pyruvate in Cardiac Mitochondria || Pilot Study of Safety and Feasibility of Acquiring Hyperpolarized Imaging in Patients With Gliomas,NCT03581500|NCT03685175|NCT03739411|NCT04540107|NCT04565327|NCT04589624,0
ING-41,,,ELRAGLUSIB,Small molecule,PHASE_2,9-ING-41,bladder cancer | salivary gland carcinoma | bone sarcoma | soft tissue sarcoma | pancreatic adenocarcinoma | lymphomas,"{""PHASE2"": 8, ""PHASE1"": 1}","{""ACTIVE_NOT_RECRUITING"": 3, ""COMPLETED"": 1, ""TERMINATED"": 2, ""WITHDRAWN"": 3}",9,NCT03678883,NCT05239182,"Phase 1/2 Study of 9-ING-41, a Glycogen Synthase Kinase-3 Beta (GSK-3β) Inhibitor, as a Single Agent and Combined With Chemotherapy, in Patients With Refractory Hematologic Malignancies or Solid Tumors || Phase 2 Study of 9-ING-41, a Glycogen Synthase Kinase 3 Beta (GSK 3β) Inhibitor, as a Single Agent or Combined With Ruxolitinib, in Patients With",NCT03678883|NCT04218071|NCT04239092|NCT04832438|NCT04906876|NCT05010629,0
FAPI-04,,,FAPI GA-68,Small molecule,APPROVAL,68Ga-FAPI-04 | 68Ga-DOTA/NOTA-FAPI-04 | 18F-AlF-FAPi-04 | gallium ga 68-dota-fapi-04 | 68ga-ni-fapi-04,cancer | liver fibrosis | fibrotic disease | oral carcinoma | keloid | solid tumor,"{""EARLY_PHASE1"": 6, ""PHASE1/PHASE2"": 3}","{""UNKNOWN"": 5, ""COMPLETED"": 1, ""RECRUITING"": 3}",9,NCT04499365,NCT07464132,68Ga-DOTA/NOTA-FAPI-04 PET/CT in Patients With Various Types of Cancer || Value of 68Ga-FAPI-04 PET/CT for Diagnosis and Prognostic Evaluation in Liver Fibrosis || 68Ga-DOTA/NOTA-FAPI PET/CT in Patients With Various Fibrotic Disease,NCT04499365|NCT04533828|NCT04831034|NCT05003427|NCT05275699|NCT06126705,0
NM8074,,,RUXOPRUBART,Antibody,PHASE_2,NM8074 | nm8074,paroxysmal nocturnal hemoglobinuria | C3 glomerulopathy | thrombotic microangiopathy | atypical hemolytic uremic syndrome | anti-neutrophil cytoplasmic antibody-associated vasculitis | immunoglobulin A nephropathy,"{""PHASE1"": 1, ""PHASE2"": 7, ""PHASE1/PHASE2"": 1}","{""COMPLETED"": 1, ""NOT_YET_RECRUITING"": 8}",9,NCT05642546,NCT06887738,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single-Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of a Single Dose of NM8074 Administered Intravenously to Healthy Subjects || A Phase II, Open-Label Study of NM8074 in Patients with Paroxysmal Nocturnal Hemoglobinuria (PNH) || A Phase II",NCT05642546|NCT05646524|NCT05646563|NCT05647811|NCT05684159|NCT05731050,0
TNX-102,,,CYCLOBENZAPRINE,Small molecule,APPROVAL,TNX-102 SL | tnx-102 sl | TNX-102,fibromyalgia | post-traumatic stress disorder | post-acute sequelae of SARS-CoV-2 infection,"{""PHASE1"": 1, ""PHASE3"": 9, ""PHASE2"": 3}","{""COMPLETED"": 12, ""TERMINATED"": 1}",9,NCT01490788,NCT05472090,"A Single-Dose, Open-Label, Randomized, Three-Way Crossover Study of the Comparative Bioavailability of TNX-102 2.4 mg and Cyclobenzaprine 5 mg Tablets and of the Effect of Food on the Pharmacokinetics of TNX-102 2.4 mg in Healthy Adults || A 12-Month, Multicenter, Open-Label Extension Study (F202) to Evaluate the Long-term Safety of TNX-102 SL Tabl",NCT01490788|NCT02015234|NCT02421679|NCT02436096|NCT02589275|NCT03110575,0
P11,,,DICHLOROTETRAFLUOROETHANE,Small molecule,UNKNOWN,self-assembling peptide P11-4 | self-assembling peptide p11-4 | monomeric self-assembling peptide p11-4 | P11-4,white spot lesions | dental caries | incipient carious lesions | early demineralized carious lesions | early enamel caries | early carious lesions,"{""NA"": 5, ""PHASE1"": 2, ""EARLY_PHASE1"": 2}","{""UNKNOWN"": 4, ""COMPLETED"": 3, ""NOT_YET_RECRUITING"": 2}",9,NCT04245787,NCT07065305,Remineralization Potential of Curodont Repair Flouride Plus Versus CPP-ACP in Management of White Spot Lesions: Randomized Clinical Trial || Clinical Efficacy of Different Remineralizing Agents in Treatment of White Spot Lesions Among a Group of Egyptian Children : A Randomized Clinical Trial || Evaluation of Remineralization Potential of Self Asse,NCT04245787|NCT05064137|NCT05094492|NCT05127889|NCT05667545|NCT06358066,0
TNP-2092,,,RIFAQUIZINONE,Small molecule,PHASE_2,TNP-2092 | tnp-2092,Helicobacter pylori infection | acute bacterial skin and skin structure infection | liver cirrhosis | hyperammonemia | periprosthetic joint infection,"{""PHASE2"": 1, ""PHASE1"": 6, ""PHASE1/PHASE2"": 2}","{""COMPLETED"": 8, ""RECRUITING"": 1}",9,NCT03964493,NCT06889701,"Phase 2, Double-Blind, Randomized, Multicenter, Parallel, Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of TNP-2092 to Treat Acute Bacterial Skin and Skin Structure Infection in Adults || An Open-Label Study to Evaluate Tissue Distribution, Plasma Pharmacokinetics, Safety, and Tolerability After a Single Intr",NCT03964493|NCT04294862|NCT05074134|NCT06135675|NCT06178718|NCT06190340,1
ADX-629,,,ACLOPROXALAP,Small molecule,PHASE_2,adx-629 | ADX-629,Sjögren-Larsson syndrome | asthma | COVID-19 | plaque psoriasis | chronic cough | elevated ethanol levels,"{""PHASE2"": 7, ""PHASE1/PHASE2"": 2}","{""COMPLETED"": 8, ""WITHDRAWN"": 1}",9,NCT04728711,NCT06685692,"A Double Masked, Placebo Controlled, Single Center, Randomized Clinical Trial to Assess the Safety and Efficacy of ADX-629 in Subjects With Mild Asthma Induced by the Bronchial Allergen Challenge (BAC) || A Randomized, Double-Blind, Placebo-Controlled, Clinical Trial to Evaluate the Safety, Tolerability, Efficacy, and Pharmacodynamics of ADX-629 Ad",NCT04728711|NCT04847544|NCT04908514|NCT05392192|NCT05443685|NCT05487404,0
HL-085,,,TUNLAMETINIB,Small molecule,APPROVAL,HL-085,melanoma | solid tumors | non-small cell lung cancer | colorectal cancer | neurofibromatosis type 1 | plexiform neurofibromas,"{""PHASE1/PHASE2"": 1, ""PHASE1"": 3, ""PHASE2"": 5}","{""COMPLETED"": 3, ""TERMINATED"": 2, ""UNKNOWN"": 3, ""RECRUITING"": 1}",9,NCT03973151,NCT05900219,"A Phase I/II, Single Arm, Dose Escalation and Cohort Expansion Study to Evaluate Safety, Preliminary Efficacy of HL-085 in Patients With NRAS Mutant Advanced Melanoma || A Phase I, Single Arm, Dose Escalation Study to Evaluate Safety, Pharmacokinetics and Preliminary Efficacy of HL-085 in Subjects With Advanced Solid Tumors || A Phase I , Single Ar",NCT03973151|NCT03976050|NCT03990077|NCT04683354|NCT05217303|NCT05233332,0
D097,,,,,,d097 | D097,,"{""PHASE1"": 9}","{""COMPLETED"": 9}",9,NCT04258865,NCT06112678,"Phase I Clinical Trial to Compare the Pharmacokinetics and Tolerability of CKD-348 With Co-administration of CKD-828, D097 and D337 in Healthy Adult Volunteers || Phase I Clinical Trial to Compare the Pharmacokinetics and Safety of CKD-348 With Co-administration of CKD-828, D097 and D337 in Healthy Adult Volunteers || An Open Label, Randomized, Sin",NCT04258865|NCT04304547|NCT04587206|NCT04660370|NCT04883658|NCT05192356,0
M72,,,,,,M72 | M72/AS01E | M72/AS01E candidate tuberculosis vaccine | M72/AS01 | M72/AS01E tuberculosis vaccine,tuberculosis | Human Immunodeficiency Virus infection | pulmonary tuberculosis | human immunodeficiency virus infection,"{""PHASE2"": 8, ""PHASE3"": 1}","{""COMPLETED"": 7, ""TERMINATED"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",9,NCT00707967,NCT06062238,Safety and Immunogenicity of a Candidate Tuberculosis (TB) Vaccine (692342) in HIV-positive Adults. || Safety and Immunogenicity Study of GSK Biologicals' Candidate Tuberculosis Vaccine (692342) When Administered to Healthy HIV-negative Adolescents Living in a TB Endemic Region || Safety and Immunogenicity Study of GSK Biologicals' Candidate Tuberc,NCT00707967|NCT00950612|NCT01098474|NCT01262976|NCT01424501|NCT01669096,0
RD13,,,,,,RD13-02 | rd13-02 cell | rd13-01 | RD13-01 | RD13-02 cell,lymphoblastic lymphoma | acute lymphoblastic leukemia | T-cell lymphoblastic lymphoma | T-cell acute lymphoblastic leukemia | lymphoma | leukemia,"{""PHASE1"": 2, ""NA"": 1, ""EARLY_PHASE1"": 6}","{""COMPLETED"": 6, ""UNKNOWN"": 1, ""RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",9,NCT04538599,NCT07142161,"RD13-01 for Patients With r/r CD7+ T/NK Cell Hematologic Malignancies || RD13-01 for Patients With r/r CD7+ T-ALL/T-LBL || A Study for Safety, Efficacy and Cellular Pharmacokinetics of CD7 CAR-T Cell for Patients With Relapsed or Refractory CD7 Positive T-cell Acute Lymphoblastic Leukemia/Lymphoblastic Lymphoma",NCT04538599|NCT04620655|NCT05716113|NCT05895994|NCT05902845|NCT05907603,0
CHF6001,,,TRANIMILAST,Small molecule,PHASE_3,CHF6001 | chf6001,chronic obstructive pulmonary disease | asthma | chronic bronchitis,"{""PHASE2"": 3, ""PHASE1"": 5, ""PHASE3"": 1}","{""COMPLETED"": 8, ""TERMINATED"": 1}",9,NCT01689571,NCT06892756,"A Randomised, Double-blind, Placebo-controlled, Three-way Crossover Study to Evaluate the Efficacy After Allergen Challenge, Safety and Tolerability of Two Doses of Inhaled CHF6001 DPI After 9 Days of Treatment in Adult Patients With Asthma || A 24-week, Multicenter, Randomized, Double-blind, Double-dummy, Placebo and Active Controlled, Parallel Gr",NCT01689571|NCT02986321|NCT03004417|NCT03004495|NCT04636814|NCT04739774,0
NSIL12,,,,,,recombinant human nsIL12 oncolytic adenovirus | Ad-TD-nsIL12 | nsIL12 oncolytic adenovirus | adenovirus Ad-TD-nsIL12 | oncolytic virus Ad-TD-nsIL12,glioma | diffuse intrinsic pontine glioma | malignant solid tumors | peritoneal metastases from gastric cancer | liver metastases from colorectal cancer | high-grade glioma,"{""PHASE1"": 5, ""PHASE2"": 1, ""PHASE1/PHASE2"": 2}","{""RECRUITING"": 1, ""ENROLLING_BY_INVITATION"": 3, ""NOT_YET_RECRUITING"": 3, ""WITHDRAWN"": 1}",8,NCT05717699,NCT07472790,"Oncolytic Virus Ad-TD-nsIL12 for Progressive Pediatric Diffuse Intrinsic Pontine Glioma || Phase I Clinical Study on the Safety, Tolerability, and Pharmacokinetics of Recombinant Human nsIL12 Oncolytic Adenovirus Injection (BioTTT001) in Patients With Malignant Solid Tumors || A Clinical Study to Evaluate the Safety and Efficacy of Recombinant Huma",NCT05717699|NCT06215846|NCT06283121|NCT06283134|NCT06763965|NCT07126990,0
PFS25,,,ALUMINUM HYDROXIDE,Small molecule,APPROVAL,Pfs25-IMX313 | Pfs25 protein conjugate vaccine | Pfs25-EPA/Alhydrogel | Pfs25-EPA | pfs25 vlp fhcmb,malaria | malaria transmission,"{""PHASE1"": 7, ""PHASE1/PHASE2"": 1}","{""WITHDRAWN"": 1, ""COMPLETED"": 4, ""TERMINATED"": 2, ""ACTIVE_NOT_RECRUITING"": 1}",8,NCT00977899,NCT06549257,"Malaria Transmission-Blocking Pfs25-Pfs25 Conjugate Vaccine || Open Label Phase 1 Study in Malaria Naive Adults of the Safety and Immunogenicity of Pfs25-EPA/Alhydrogel, a Transmission Blocking Vaccine Against Plasmodium Falciparum || Double Blind Dose-Escalating Randomized Controlled Phase 1 Study in Malaria Exposed Adults of the Safety and Immuno",NCT00977899|NCT01434381|NCT01867463|NCT02013687|NCT02532049|NCT04130282,0
BDB-001,,,,,,BDB-001 | bdb-001,COVID-19 | hidradenitis suppurativa | acute lung injury | acute respiratory distress syndrome | ANCA-associated vasculitis | anti-neutrophil cytoplasmic antibody-associated vasculitis,"{""PHASE2/PHASE3"": 1, ""PHASE1"": 3, ""PHASE2"": 1, ""PHASE1/PHASE2"": 2, ""PHASE3"": 1}","{""TERMINATED"": 2, ""COMPLETED"": 5, ""RECRUITING"": 1}",8,NCT04449588,NCT07168161,"A Multi-center, Open-label, Randomized Parallel Controlled Evaluation on the Efficacy and Safety of BDB-001 Injection in the Treatment of Progressive Severe COVID-19 in Phase II/III || A Phase Ib, Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Study of BDB-001 Injection in Patients With Novel Coronavirus (2019-nCoV) Infection || A Mult",NCT04449588|NCT05075304|NCT05093855|NCT05103423|NCT05197842|NCT05360927,0
ACYW135,,,,,,meningococcal ACYW135 polysaccharide conjugate vaccine | Group ACYW135 meningococcal polysaccharide vaccine | ACYW135 meningococcal polysaccharide vaccine | meningococcal group ACYW135 conjugate vacci,meningococcal infection | meningococcal disease | haemophilus influenzae type b infection | pertussis,"{""PHASE2"": 3, ""PHASE1"": 4, ""PHASE3"": 1}","{""COMPLETED"": 4, ""UNKNOWN"": 3, ""RECRUITING"": 1}",8,NCT01661738,NCT07203755,"Phase II Clinical Trial of Group ACYW135 Meningococcal Polysaccharide Vaccine || Report in Phase 1 stage for Acyw135 Meningococcal Polysaccharide Vaccine and Meningococcal Infection || A Single-center, Open, Phase I Clinical Trial to Evaluate Safety of Meningococcal ACYW135 Polysaccharide Conjugate Vaccine in Healthy Volunteers Aged Above 3 Months",NCT01661738|NCT02867319|NCT02878291|NCT04236960|NCT05229536|NCT05252715,0
EC-18,,,MOSEDIPIMOD,Small molecule,PHASE_2,EC-18 | ec-18,acute respiratory distress syndrome | neutropenia | squamous cell cancer of the nasopharynx | squamous cell cancer of the hypopharynx | squamous cell cancer of the oropharynx | squamous cell cancer of the mouth,"{""PHASE1"": 3, ""PHASE1/PHASE2"": 1, ""PHASE2"": 4}","{""COMPLETED"": 6, ""UNKNOWN"": 1, ""NOT_YET_RECRUITING"": 1}",8,NCT02496143,NCT06487000,"A Randomized, Double-Blind, Placebo-Controlled, Single-Ascending-Dose Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Oral Administration of EC-18 in Healthy Subjects || A Dose Block-randomized, Double-blind, Placebo-controlled, Single and Multiple Ascending Dose Escalation, Phase I Clinical Trial to Evaluate the",NCT02496143|NCT02532712|NCT02700360|NCT03104595|NCT03200340|NCT04500132,0
OPT-821,,,QS-21,Unknown,APPROVAL,"OPT-821 | opt-821 | polyvalent vaccine-klh conjugate + OPT-821 | vaccine comprised of klh conjugates of gd2l, gd3l, globo h, fucosyl gm1, and n-propionylated polysialic acid plus opt-821 adjuvant",fallopian tube cancer | epithelial ovarian cancer | ovarian epithelial cancer | primary peritoneal cancer | peritoneal cancer | neuroblastoma,"{""PHASE3"": 1, ""PHASE2"": 5, ""NA"": 1, ""PHASE1"": 1}","{""WITHDRAWN"": 1, ""COMPLETED"": 4, ""UNKNOWN"": 1, ""RECRUITING"": 2}",8,NCT00693342,NCT06057948,"A Randomized Phase III Trial in Patients With Epithelial Ovarian, Fallopian Tube or Peritoneal Cancer With a Polyvalent Vaccine-KLH Conjugate + OPT-821 Versus OPT-821 || A Phase II Randomized, Double-Blind Trial of a Polyvalent Vaccine-KLH Conjugate (NSC 748933 ) + OPT-821 Versus OPT-821 in Patients With Epithelial Ovarian, Fallopian Tube, or Perit",NCT00693342|NCT00857545|NCT01141491|NCT01223235|NCT01349647|NCT02132988,0
AK0529,,,ZIRESOVIR,Small molecule,PHASE_3,AK0529 | ak0529,respiratory syncytial virus infection | RSV infection | pneumonia,"{""PHASE1"": 4, ""PHASE2"": 3, ""PHASE3"": 1}","{""COMPLETED"": 5, ""TERMINATED"": 1, ""UNKNOWN"": 1, ""RECRUITING"": 1}",8,NCT02297594,NCT06942299,"A Randomized, Double-blind, Placebo-controlled, Single and Multiple Ascending Dose Study to Assess the Safety, Tolerability, and Pharmacokinetics of AK0529 When Administered Orally in Healthy Male and Female Adult Subjects || A Phase 1b, Open-label, Multicenter, Single Dose Study to Evaluate the Pharmacokinetics, Pharmacodynamics, Safety and Tolera",NCT02297594|NCT02460016|NCT02654171|NCT03322800|NCT03400995|NCT03699202,1
GX-188E,,,,,,GX-188E | gx-188e | GX-188E DNA vaccination,cervical intraepithelial neoplasia | head and neck cancer | cervical cancer,"{""NA"": 3, ""PHASE2"": 4, ""PHASE1/PHASE2"": 1}","{""UNKNOWN"": 4, ""COMPLETED"": 2, ""RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",8,NCT02100085,NCT05286060,"A Single Center, Phase I Study to Follow-up on the Change of Immunogenicity and Lesion Condition in Subjects Who Have Completed the Phase I GX-188E Trial (Protocol no. GX-188E-SN) || A Randomized, Open-label, Multi-center, Phase 2 Clinical Trial to Determine the Optimal Dose and Evaluate the Safety of GX-188E, a DNA-based Therapeutic Vaccine, Admin",NCT02100085|NCT02139267|NCT02411019|NCT02596243|NCT03206138|NCT03444376,0
