asset_id,display_name,sponsor,nct_id,phase,overall_status,study_type,primary_purpose,start_date,brief_title,official_title,why_stopped,interventions,conditions,url
ZG122,ZG122,,NCT05659927,PHASE1,UNKNOWN,INTERVENTIONAL,TREATMENT,2023-02-09,"Safety, Tolerability, and Pharmacokinetics of MG-ZG122 in a Single Subcutaneous Injection in Chinese Healthy Adult Subjects: a Single-center, Randomized, Double-blind, Placebo-controlled, Dose-increasing Phase I Clinical Trial","Safety, Tolerability, and Pharmacokinetics of MG-ZG122 in a Single Subcutaneous Injection in Chinese Healthy Adult Subjects: a Single-center, Randomized, Double-blind, Placebo-controlled, Dose-increasing Phase I Clinical Trial",,MG-ZG122,,https://clinicaltrials.gov/study/NCT05659927
SG001,enlonstobart,,NCT05715840,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2023-01-31,"A Randomised, Double-blind, Placebo-controlled, Multicentre Phase Ш Clinical Study to Evaluate the Efficacy and Safety of First-line Treatment With SG001 Plus Chemotherapy±Bevacizumab Versus Placebo Plus Chemotherapy±Bevacizumab for PD-L1 Positive (CPS≥1) Women With Recurrent, or Metastatic Cervical Cancer","A Randomised, Double-blind, Placebo-controlled, Multicentre Phase Ш Clinical Study to Evaluate the Efficacy and Safety of First-line Treatment With SG001 Plus Chemotherapy±Bevacizumab Versus Placebo Plus Chemotherapy±Bevacizumab for PD-L1 Positive (CPS≥1) Women With Recurrent, or Metastatic Cervical Cancer",,SG001,cervical cancer,https://clinicaltrials.gov/study/NCT05715840
HTMC0435,HTMC0435,,NCT05728619,PHASE1/PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2023-02-03,"A Phase 1b/2, Dose-finding and Expansion Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of HTMC0435 With Temozolomide in Patients With Small Cell Lung Cancer","A Phase 1b/2, Dose-finding and Expansion Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of HTMC0435 With Temozolomide in Patients With Small Cell Lung Cancer",,temozolomide | HTMC0435,small cell lung cancer,https://clinicaltrials.gov/study/NCT05728619
BL-001,BL-001,,NCT05818306,PHASE1,COMPLETED,INTERVENTIONAL,HEALTH_SERVICES_RESEARCH,2023-02-20,"A Phase Ia, Randomized, Parallel-group, Double-blind, Placebo-controlled, Single-center, Multiple Dose Safety and Tolerability Study of Ascending Doses of BL-001 Oral Capsules Administered for 28 Days to Healthy Volunteers","A Phase Ia, Randomized, Parallel-group, Double-blind, Placebo-controlled, Single-center, Multiple Dose Safety and Tolerability Study of Ascending Doses of BL-001 Oral Capsules Administered for 28 Days to Healthy Volunteers",,BL-001,,https://clinicaltrials.gov/study/NCT05818306
SG1906,SG1906,,NCT05857332,PHASE1,RECRUITING,INTERVENTIONAL,TREATMENT,2023-05-30,"A Phase Ia/Ib Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of SG1906 in Patients With CLDN18.2-Positive Locally Advanced Unresectable or Metastatic Solid Tumors.","A Phase Ia/Ib Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of SG1906 in Patients With CLDN18.2-Positive Locally Advanced Unresectable or Metastatic Solid Tumors.",,sg1906,solid tumor | gastroesophageal junction cancer | pancreatic cancer | gastric cancer,https://clinicaltrials.gov/study/NCT05857332
TG103,TG103,,NCT05997576,PHASE3,COMPLETED,INTERVENTIONAL,TREATMENT,2023-11-22,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Study of TG103 Injection in the Management of Non-diabetic Overweight or Obesity","A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Study of TG103 Injection in the Management of Non-diabetic Overweight or Obesity",,TG103,obesity | overweight,https://clinicaltrials.gov/study/NCT05997576
SG1827,SG1827,,NCT06076291,PHASE1,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT,2023-09-27,"A Phase I Clinical Study to Evaluate the Safety, Tolerability and Preliminary Efficacy of SG1827 in Subjects With Advanced Solid Tumors","A Phase I Clinical Study to Evaluate the Safety, Tolerability and Preliminary Efficacy of SG1827 in Subjects With Advanced Solid Tumors",,SG1827,solid tumor,https://clinicaltrials.gov/study/NCT06076291
SG001,enlonstobart,,NCT06089330,PHASE2,UNKNOWN,INTERVENTIONAL,TREATMENT,2024-01-31,"A Randomized, Controlled, Open-label Phase Ⅱ Study of The Safety, Tolerability and Efficacy of JMT101 and Irinotecan Combined With SG001 in Patients With Metastatic Colorectal Cancer (mCRC)","A Randomized, Controlled, Open-label Phase Ⅱ Study of The Safety, Tolerability and Efficacy of JMT101 and Irinotecan Combined With SG001 in Patients With Metastatic Colorectal Cancer (mCRC)",,irinotecan | JMT101 | SG001,colorectal cancer,https://clinicaltrials.gov/study/NCT06089330
SG001,enlonstobart,,NCT06132217,PHASE1/PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2024-01-30,"A Phase I/II Study To Evaluate The Safety, Tolerability, Pharmacokinetic Profile And Preliminary Efficacy Of Simmitinib Plus SG001 in Patients With Advanced Solid Tumors","A Phase I/II Study To Evaluate The Safety, Tolerability, Pharmacokinetic Profile And Preliminary Efficacy Of Simmitinib Plus SG001 in Patients With Advanced Solid Tumors",,simmitinib | sg001,advanced solid tumors,https://clinicaltrials.gov/study/NCT06132217
SG001,enlonstobart,,NCT06136988,PHASE1/PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2023-12-31,"A Multicenter, Open-label, Phase Ib/II Study of Docetaxel for Injection (Albumin-bound) and SG001 in Combination With Cisplatin and Simultaneous Radiotherapy Versus Paclitaxel in Combination With Cisplatin and Simultaneous Radiotherapy for Locally Advanced Unresectable Esophageal Squamous Carcinoma.","A Multicenter, Open-label, Phase Ib/II Study of Docetaxel for Injection (Albumin-bound) and SG001 in Combination With Cisplatin and Simultaneous Radiotherapy Versus Paclitaxel in Combination With Cisplatin and Simultaneous Radiotherapy for Locally Advanced Unresectable Esophageal Squamous Carcinoma.",,docetaxel | cisplatin | SG001,esophageal squamous carcinoma,https://clinicaltrials.gov/study/NCT06136988
TG103,TG103,,NCT06226090,PHASE2,COMPLETED,INTERVENTIONAL,TREATMENT,2024-02-21,"A Randomized, Double-blind, Placebo-controlled Phase 2 Study of TG103 Injection in the Management of Non-diabetic Overweight or Obesity","A Randomized, Double-blind, Placebo-controlled Phase 2 Study of TG103 Injection in the Management of Non-diabetic Overweight or Obesity",,tg103,obesity | overweight,https://clinicaltrials.gov/study/NCT06226090
TG103,TG103,,NCT06235086,PHASE3,COMPLETED,INTERVENTIONAL,TREATMENT,2024-04-08,"A Multicenter, Randomized, Open-label, Controlled Phase 3 Trial of TG103 Injection in Combination With Metformin in Subjects With Type 2 Diabetes Mellitus","A Multicenter, Randomized, Open-label, Controlled Phase 3 Trial of TG103 Injection in Combination With Metformin in Subjects With Type 2 Diabetes Mellitus",,TG103 | metformin,type 2 diabetes mellitus,https://clinicaltrials.gov/study/NCT06235086
TG103,TG103,,NCT06258148,PHASE3,COMPLETED,INTERVENTIONAL,TREATMENT,2024-04-15,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Trial of TG103 Injection Monotherapy Subjects With Type 2 Diabetes Mellitus","A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Trial of TG103 Injection Monotherapy Subjects With Type 2 Diabetes Mellitus",,tg103,type 2 diabetes mellitus,https://clinicaltrials.gov/study/NCT06258148
GC001,GC001,,NCT06508307,PHASE1,RECRUITING,INTERVENTIONAL,TREATMENT,2023-04-26,"A Phase I Study Evaluating the Safety, Tolerability, Biodistribution and Shedding of the Virus, Pharmacodynamics, Immunogenicity, and Antitumor Activity of GC001 Oncolytic Vaccinia Virus Injection in Patient With Advanced Solid Tumors.","A Phase I Study Evaluating the Safety, Tolerability, Biodistribution and Shedding of the Virus, Pharmacodynamics, Immunogenicity, and Antitumor Activity of GC001 Oncolytic Vaccinia Virus Injection in Patient With Advanced Solid Tumors.",,GC001 oncolytic vaccinia virus,solid tumors,https://clinicaltrials.gov/study/NCT06508307
GC001,GC001,,NCT06660056,PHASE1,RECRUITING,INTERVENTIONAL,TREATMENT,2024-10-08,"A Phase I Study Evaluating the Safety, Tolerability, Biodistribution and Shedding of Oncolytic Vaccinia Virus GC001, Pharmacodynamics, Immunogenicity, and Antitumor Activity of the Virus in Patient With Recurrent or Progressive Gliomas","A Phase I Study Evaluating the Safety, Tolerability, Biodistribution and Shedding of Oncolytic Vaccinia Virus GC001, Pharmacodynamics, Immunogenicity, and Antitumor Activity of the Virus in Patient With Recurrent or Progressive Gliomas",,oncolytic vaccinia virus gc001,glioma,https://clinicaltrials.gov/study/NCT06660056
AP402,AP402,,NCT06669975,PHASE1/PHASE2,RECRUITING,INTERVENTIONAL,TREATMENT,2025-04-22,"A Phase 1/2, Open-label Study of the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Clinical Activity of AP402 in HER2-Positive Patients With Locally or Advanced Solid Tumors","A Phase 1/2, Open-label Study of the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Clinical Activity of AP402 in HER2-Positive Patients With Locally or Advanced Solid Tumors",,AP402,solid tumor,https://clinicaltrials.gov/study/NCT06669975
SG001,enlonstobart,,NCT06682611,PHASE1/PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2024-11-13,"An, Phase Ib/II Clinical Trial to Evaluate the Safety and Efficacy of SYHA1813 Single Agent or in Combination With Different Regimens in Unresectable Locally Advanced or Metastatic Solid Tumors.","An, Phase Ib/II Clinical Trial to Evaluate the Safety and Efficacy of SYHA1813 Single Agent or in Combination With Different Regimens in Unresectable Locally Advanced or Metastatic Solid Tumors.",,cisplatin | regorafenib | everolimus | paclitaxel | etoposide | SYHA1813 | carboplatin | sg001 | hb1801,solid tumors,https://clinicaltrials.gov/study/NCT06682611
AP306,AP306,,NCT06712654,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2026-05-31,"A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety, Tolerability, and Serum Phosphate Lowering Effect of Fixed Dose AP306 in Participants With Hyperphosphatemia Receiving Maintenance Hemodialysis","A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety, Tolerability, and Serum Phosphate Lowering Effect of Fixed Dose AP306 in Participants With Hyperphosphatemia Receiving Maintenance Hemodialysis",,AP306,hyperphosphatemia,https://clinicaltrials.gov/study/NCT06712654
AP505,AP505,,NCT06723964,PHASE1,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT,2023-03-30,"A Phase 1 Dose-Escalation Study to Evaluate the Tolerability, Pharmacokinetics, and Preliminary Anti-Tumor Activity of AP505 Injection, an Anti-PD-L1 and Anti-VEGF Bispecific Antibody, in Patients With Advanced Solid Tumors","A Phase 1 Dose-Escalation Study to Evaluate the Tolerability, Pharmacokinetics, and Preliminary Anti-Tumor Activity of AP505 Injection, an Anti-PD-L1 and Anti-VEGF Bispecific Antibody, in Patients With Advanced Solid Tumors",,ap505,solid tumor,https://clinicaltrials.gov/study/NCT06723964
BC008,BC008,,NCT06773481,PHASE1,RECRUITING,INTERVENTIONAL,TREATMENT,2025-04-07,A Phase I Clinical Study to Evaluate the Safety and Preliminary Efficacy of BC008-1A Injection in Subjects With Recurrent CNS WHO Grade 4 Glioma.,A Phase I Clinical Study to Evaluate the Safety and Preliminary Efficacy of BC008-1A Injection in Subjects With Recurrent CNS WHO Grade 4 Glioma.,,BC008-1A,glioma,https://clinicaltrials.gov/study/NCT06773481
BC008,BC008,,NCT06773507,PHASE1,RECRUITING,INTERVENTIONAL,TREATMENT,2025-05-12,"An Open-label, Multicenter, Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic (PK) Characteristics and Preliminary Efficacy of BC008-1A Injection in Subjects With Advanced Solid Tumors","An Open-label, Multicenter, Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic (PK) Characteristics and Preliminary Efficacy of BC008-1A Injection in Subjects With Advanced Solid Tumors",,BC008-1A,esophageal cancer | non-small cell lung cancer,https://clinicaltrials.gov/study/NCT06773507
SG001,enlonstobart,,NCT06989671,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2025-08-30,A Phase 2 Study of SYS6002 in Combination With JMT101 and Enlonstobart Injection in Participants With Recurrent and/or Metastatic Head and Neck Squamous Cell Cancer (HNSCC),A Phase 2 Study of SYS6002 in Combination With JMT101 and Enlonstobart Injection in Participants With Recurrent and/or Metastatic Head and Neck Squamous Cell Cancer (HNSCC),,Enlonstobart | SYS6002 | JMT101,head and neck squamous cell carcinoma,https://clinicaltrials.gov/study/NCT06989671
SG001,enlonstobart,,NCT06998771,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2025-06-15,A Phase II Trial to Evaluate the Safety and Efficacy of JSKN003 Combination Therapy as First-line Treatment in HER2-positive Unresectable Locally Advanced or Metastatic Gastric Cancer or Resectable Gastric Cancer,A Phase II Trial to Evaluate the Safety and Efficacy of JSKN003 Combination Therapy as First-line Treatment in HER2-positive Unresectable Locally Advanced or Metastatic Gastric Cancer or Resectable Gastric Cancer,,capecitabine | enlonstobart | oxaliplatin | pembrolizumab | JSKN003 | KN026 | trastuzumab,gastric cancer,https://clinicaltrials.gov/study/NCT06998771
ZG122,ZG122,,NCT07054034,PHASE2,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT,2025-05-11,"A Randomized, Double-Blind, Placebo-Controlled Phase II Clinical Trial of MG-ZG122 Humanized Monoclonal Antibody Injection in Adult Subjects With Moderate-to-Severe Asthma to Evaluate Efficacy and Safety","A Randomized, Double-Blind, Placebo-Controlled Phase II Clinical Trial of MG-ZG122 Humanized Monoclonal Antibody Injection in Adult Subjects With Moderate-to-Severe Asthma to Evaluate Efficacy and Safety",,MG-ZG122 humanized monoclonal antibody,asthma,https://clinicaltrials.gov/study/NCT07054034
SG001,enlonstobart,,NCT07251062,PHASE2/PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2025-12-30,A Phase II/III Study to Evaluate the Efficacy and Safety of SYS6010 in Combination With SG001 With or Without 5-FU/Capecitabine in Subjects With First-Line Advanced/Metastatic Esophageal Squamous Cell Carcinoma.,A Phase II/III Study to Evaluate the Efficacy and Safety of SYS6010 in Combination With SG001 With or Without 5-FU/Capecitabine in Subjects With First-Line Advanced/Metastatic Esophageal Squamous Cell Carcinoma.,,capecitabine | SG001 | SYS6010 | 5-FU,esophageal squamous cell carcinoma,https://clinicaltrials.gov/study/NCT07251062
SG001,enlonstobart,,NCT07254585,PHASE2,RECRUITING,INTERVENTIONAL,TREATMENT,2025-12-18,"An Open-label, Multicenter, Phase II Study to Evaluate the Efficacy and Safety of SYS6010 Combined With Enlonstobart in the Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma","An Open-label, Multicenter, Phase II Study to Evaluate the Efficacy and Safety of SYS6010 Combined With Enlonstobart in the Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma",,Enlonstobart | SYS6010,head and neck squamous cell carcinoma,https://clinicaltrials.gov/study/NCT07254585
SG001,enlonstobart,,NCT07282509,PHASE1/PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2025-12-23,A Phase Ib/II Clinical Trial to Evaluate the Safety and Efficacy of Transcatheter Arterial Infusion of Paclitaxel Cationic Liposome Combined With Systemic Therapy in Participants With Advanced Hepatocellular Carcinoma for Second-line Treatment,A Phase Ib/II Clinical Trial to Evaluate the Safety and Efficacy of Transcatheter Arterial Infusion of Paclitaxel Cationic Liposome Combined With Systemic Therapy in Participants With Advanced Hepatocellular Carcinoma for Second-line Treatment,,enlonstobart | pembrolizumab | lenvatinib | paclitaxel,hepatocellular carcinoma,https://clinicaltrials.gov/study/NCT07282509
SG001,enlonstobart,,NCT07288814,PHASE1/PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2025-12-08,"A Single-Arm, Open-Label Ib/II Study of Mitoxantrone Hydrochloride Liposome and Enlonstobart Combination Treatment in Patients With Relapsed or Refractory Peripheral T Cell Lymphoma（PTCL）","A Single-Arm, Open-Label Ib/II Study of Mitoxantrone Hydrochloride Liposome and Enlonstobart Combination Treatment in Patients With Relapsed or Refractory Peripheral T Cell Lymphoma（PTCL）",,mitoxantrone hydrochloride liposome | enlonstobart,peripheral T-cell lymphoma,https://clinicaltrials.gov/study/NCT07288814
SG001,enlonstobart,,NCT07332533,PHASE2/PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2025-12-30,A Phase II/III Study of KN026 Combined Chemotherapy With or Without Enlonstobart as First-line Treatment in HER2-positive Unresectable Locally Advanced or Metastatic Gastric Cancer.,A Phase II/III Study of KN026 Combined Chemotherapy With or Without Enlonstobart as First-line Treatment in HER2-positive Unresectable Locally Advanced or Metastatic Gastric Cancer.,,kn026 | enlonstobart,gastric cancer,https://clinicaltrials.gov/study/NCT07332533
SG001,enlonstobart,,NCT07448077,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2026-03-01,"Short-Course Radiotherapy in Total Neoadjuvant Therapy Combined With Enlonstobart for pMMR Locally Advanced Rectal Cancer: A Prospective, Multicenter, Open-Label, Randomized Controlled Trial","Short-Course Radiotherapy in Total Neoadjuvant Therapy Combined With Enlonstobart for pMMR Locally Advanced Rectal Cancer: A Prospective, Multicenter, Open-Label, Randomized Controlled Trial",,enlonstobart,rectal cancer,https://clinicaltrials.gov/study/NCT07448077
SG001,enlonstobart,,NCT07585279,PHASE2/PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2026-05-20,"Liposomal Irinotecan-based Regimen Versus Irinotecan-based Regimen in Second-Line Treatment for Metastatic Colorectal Cancer (IRIS-02): A Randomized, Controlled Phase II/Ⅲ Study","Liposomal Irinotecan-based Regimen Versus Irinotecan-based Regimen in Second-Line Treatment for Metastatic Colorectal Cancer (IRIS-02): A Randomized, Controlled Phase II/Ⅲ Study",,leucovorin | fluorouracil | bevacizumab | irinotecan | enlonstobart,colorectal cancer,https://clinicaltrials.gov/study/NCT07585279
SG001,enlonstobart,,NCT07591831,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT,2026-05-30,An Exploratory Clinical Study of Liposomal Irinotecan Combined With Enlonstobart in Patients With Platinum-Resistant Recurrent Ovarian Cancer,An Exploratory Clinical Study of Liposomal Irinotecan Combined With Enlonstobart in Patients With Platinum-Resistant Recurrent Ovarian Cancer,,enlonstobart | irinotecan,ovarian cancer,https://clinicaltrials.gov/study/NCT07591831
SSS17,SSS17,3SBio,NCT04317833,PHASE1,UNKNOWN,INTERVENTIONAL,TREATMENT,2020-05-01,"A Single Dose Escalation Study to Investigate the Tolerability, Safety, Pharmacokinetics and Pharmacodynamics of SSS17 in Chinese Healthy Subject","A Single Dose Escalation Study to Investigate the Tolerability, Safety, Pharmacokinetics and Pharmacodynamics of SSS17 in Chinese Healthy Subject",,SSS17,,https://clinicaltrials.gov/study/NCT04317833
SSS17,SSS17,3SBio,NCT04893187,PHASE1,UNKNOWN,INTERVENTIONAL,TREATMENT,2021-07-26,"A Phase 1 Study to Evaluate the Tolerance, Safety, Pharmacokinetics and Pharmacodynamics of Oral Administration of SSS17 in Chinese Healthy Adult Subjects With Single and Multiple Dose Escalation and the Effect of Food on the Pharmacokinetics of SSS17.","A Phase 1 Study to Evaluate the Tolerance, Safety, Pharmacokinetics and Pharmacodynamics of Oral Administration of SSS17 in Chinese Healthy Adult Subjects With Single and Multiple Dose Escalation and the Effect of Food on the Pharmacokinetics of SSS17.",,SSS17,,https://clinicaltrials.gov/study/NCT04893187
